,holds,grades,year,angle
0,"[('A18', 'end'), ('C10', 'hold'), ('D15', 'hold'), ('G4', 'start'), ('H8', 'hold')]",7B,2016,40
1,"[('E18', 'end'), ('F13', 'hold'), ('G6', 'start'), ('J16', 'hold'), ('J10', 'hold'), ('J2', 'start')]",7B,2016,40
2,"[('E18', 'end'), ('F14', 'hold'), ('F9', 'hold'), ('G2', 'start'), ('G10', 'hold'), ('I6', 'start')]",7B,2016,40
3,"[('B3', 'start'), ('E10', 'hold'), ('F7', 'hold'), ('H18', 'end'), ('I11', 'hold'), ('I14', 'hold')]",7B,2016,40
4,"[('D10', 'hold'), ('H18', 'end'), ('H14', 'hold'), ('H9', 'hold'), ('I5', 'start')]",7B,2016,40
5,"[('E10', 'hold'), ('G4', 'start'), ('H7', 'hold'), ('I14', 'hold'), ('K18', 'end')]",7B,2016,40
6,"[('A18', 'end'), ('B6', 'hold'), ('D15', 'hold'), ('D11', 'hold'), ('G6', 'start'), ('H8', 'hold'), ('J5', 'start')]",7B,2016,40
7,"[('A18', 'end'), ('E12', 'hold'), ('E16', 'hold'), ('G4', 'start'), ('I10', 'hold'), ('J7', 'hold')]",7B,2016,40
8,"[('C8', 'hold'), ('F5', 'start'), ('G2', 'start'), ('G13', 'hold'), ('G15', 'hold'), ('K18', 'end')]",7B,2016,40
9,"[('D8', 'hold'), ('D6', 'start'), ('E11', 'hold'), ('G2', 'start'), ('G18', 'end'), ('H14', 'hold')]",7B,2016,40
10,"[('C5', 'start'), ('E18', 'end'), ('F15', 'hold'), ('F13', 'hold'), ('G9', 'hold')]",7B,2016,40
11,"[('A5', 'hold'), ('C10', 'hold'), ('E7', 'hold'), ('F14', 'hold'), ('F13', 'hold'), ('F10', 'hold'), ('I18', 'end'), ('K5', 'start')]",7B,2016,40
12,"[('B9', 'hold'), ('C18', 'end'), ('E11', 'hold'), ('G15', 'hold'), ('H8', 'hold'), ('H5', 'start')]",7B,2016,40
13,"[('B18', 'end'), ('F15', 'hold'), ('F14', 'hold'), ('F9', 'hold'), ('G4', 'start'), ('G11', 'hold'), ('I8', 'hold'), ('K6', 'start')]",7B,2016,40
14,"[('C10', 'hold'), ('E7', 'hold'), ('E18', 'end'), ('F13', 'hold'), ('G4', 'start'), ('I9', 'hold'), ('J16', 'hold')]",7B,2016,40
15,"[('B3', 'start'), ('C7', 'hold'), ('C14', 'hold'), ('E18', 'end'), ('G11', 'hold')]",7B,2016,40
16,"[('C5', 'start'), ('D5', 'start'), ('E12', 'hold'), ('E18', 'end'), ('F7', 'hold'), ('H8', 'hold'), ('I14', 'hold')]",7B,2016,40
17,"[('C15', 'hold'), ('C18', 'end'), ('D6', 'start'), ('D3', 'start'), ('G11', 'hold'), ('H14', 'hold'), ('H9', 'hold')]",7B,2016,40
18,"[('A9', 'hold'), ('B18', 'end'), ('B12', 'hold'), ('D15', 'hold'), ('D6', 'start'), ('E8', 'hold'), ('G4', 'start')]",7B,2016,40
19,"[('B9', 'hold'), ('B8', 'hold'), ('B3', 'start'), ('C11', 'hold'), ('D18', 'end'), ('G2', 'start'), ('G17', 'hold'), ('H16', 'hold'), ('H11', 'hold'), ('I13', 'hold'), ('K7', 'hold')]",7B,2016,40
20,"[('C18', 'end'), ('F13', 'hold'), ('F5', 'start'), ('H16', 'hold'), ('I10', 'hold')]",7B,2016,40
21,"[('E9', 'hold'), ('F13', 'hold'), ('H12', 'hold'), ('H8', 'hold'), ('I18', 'end'), ('J5', 'start')]",7B,2016,40
22,"[('B3', 'start'), ('C10', 'hold'), ('E7', 'hold'), ('F12', 'hold'), ('G14', 'hold'), ('I18', 'end')]",7B,2016,40
23,"[('C5', 'start'), ('E9', 'hold'), ('F11', 'hold'), ('G15', 'hold'), ('H12', 'hold'), ('H5', 'hold'), ('I18', 'end')]",7B,2016,40
24,"[('D9', 'hold'), ('G2', 'start'), ('G11', 'hold'), ('G18', 'end'), ('H12', 'hold'), ('H5', 'start'), ('I15', 'hold')]",7B,2016,40
25,"[('C18', 'end'), ('D16', 'hold'), ('D13', 'hold'), ('G7', 'hold'), ('G11', 'hold'), ('K6', 'start')]",7B,2016,40
26,"[('C13', 'hold'), ('C18', 'end'), ('D16', 'hold'), ('G4', 'start'), ('G11', 'hold'), ('H12', 'hold'), ('K8', 'hold')]",7B,2016,40
27,"[('C12', 'hold'), ('D18', 'end'), ('E7', 'hold'), ('F15', 'hold'), ('H11', 'hold'), ('H5', 'start'), ('I4', 'start'), ('K10', 'hold')]",7A+,2016,40
28,"[('A9', 'hold'), ('A14', 'hold'), ('B12', 'hold'), ('D18', 'end'), ('E6', 'hold'), ('E8', 'hold'), ('E14', 'hold'), ('G4', 'start')]",7A+,2016,40
29,"[('B8', 'hold'), ('B4', 'start'), ('D18', 'end'), ('D3', 'start'), ('F16', 'hold'), ('F14', 'hold'), ('H10', 'hold')]",7A+,2016,40
30,"[('D12', 'hold'), ('D9', 'hold'), ('E15', 'hold'), ('E18', 'end'), ('G2', 'start'), ('J8', 'hold')]",7A+,2016,40
31,"[('B16', 'hold'), ('B13', 'hold'), ('C14', 'hold'), ('F12', 'hold'), ('F5', 'start'), ('G12', 'hold'), ('G18', 'end'), ('J10', 'hold'), ('J9', 'hold'), ('K5', 'hold')]",7A+,2016,40
32,"[('B4', 'start'), ('C9', 'hold'), ('D16', 'hold'), ('D13', 'hold'), ('D3', 'start'), ('F15', 'hold'), ('G7', 'hold'), ('G11', 'hold'), ('H18', 'end')]",7A+,2016,40
33,"[('C9', 'hold'), ('C13', 'hold'), ('E6', 'start'), ('F15', 'hold'), ('F10', 'hold'), ('G17', 'hold'), ('H18', 'end'), ('H5', 'start')]",7A+,2016,40
34,"[('C13', 'hold'), ('D18', 'end'), ('E6', 'start'), ('F10', 'hold'), ('G17', 'hold'), ('H5', 'start')]",7A+,2016,40
35,"[('C13', 'hold'), ('D18', 'end'), ('E6', 'start'), ('F10', 'hold'), ('H5', 'start')]",7A+,2016,40
36,"[('B8', 'hold'), ('C15', 'hold'), ('C18', 'end'), ('F13', 'hold'), ('G4', 'start'), ('H12', 'hold'), ('I9', 'hold'), ('J8', 'hold')]",7A+,2016,40
37,"[('B3', 'start'), ('C8', 'hold'), ('C10', 'hold'), ('D18', 'end'), ('G14', 'hold'), ('G15', 'hold'), ('H10', 'hold')]",7A+,2016,40
38,"[('C8', 'hold'), ('E6', 'start'), ('E9', 'hold'), ('E12', 'hold'), ('E15', 'hold'), ('H5', 'start'), ('I18', 'end')]",7A+,2016,40
39,"[('A9', 'hold'), ('E9', 'hold'), ('E12', 'hold'), ('F14', 'hold'), ('F5', 'start'), ('I15', 'hold'), ('I18', 'end')]",7A+,2016,40
40,"[('B4', 'start'), ('C7', 'hold'), ('C18', 'end'), ('D13', 'hold'), ('D10', 'hold'), ('D3', 'start'), ('F15', 'hold')]",7A,2016,40
41,"[('E11', 'hold'), ('E18', 'end'), ('G2', 'start'), ('G14', 'hold'), ('H5', 'start'), ('J8', 'hold')]",7A,2016,40
42,"[('E18', 'end'), ('H10', 'hold'), ('I14', 'hold'), ('J5', 'start')]",7A,2016,40
43,"[('D18', 'end'), ('D3', 'start'), ('F13', 'hold'), ('F7', 'hold'), ('G17', 'hold'), ('H11', 'hold'), ('I4', 'start')]",7A,2016,40
44,"[('C7', 'hold'), ('D18', 'end'), ('E15', 'hold'), ('F10', 'hold'), ('G4', 'start'), ('G9', 'hold'), ('H12', 'hold')]",7A,2016,40
45,"[('B15', 'hold'), ('D18', 'end'), ('E8', 'hold'), ('E12', 'hold'), ('H5', 'start'), ('J5', 'start')]",7A,2016,40
46,"[('C13', 'hold'), ('C18', 'end'), ('D15', 'hold'), ('H11', 'hold'), ('I10', 'hold'), ('J5', 'start')]",7A,2016,40
47,"[('C13', 'hold'), ('E6', 'start'), ('G9', 'hold'), ('G18', 'end'), ('I14', 'hold'), ('J5', 'start')]",7A,2016,40
48,"[('B10', 'hold'), ('B6', 'start'), ('C5', 'start'), ('E8', 'hold'), ('E14', 'hold'), ('E16', 'hold'), ('I18', 'end')]",7A,2016,40
49,"[('E14', 'hold'), ('E18', 'end'), ('H11', 'hold'), ('H8', 'hold'), ('J5', 'start')]",7A,2016,40
50,"[('B11', 'hold'), ('E10', 'hold'), ('F14', 'hold'), ('F5', 'start'), ('G15', 'hold'), ('J5', 'start'), ('K18', 'end')]",7A,2016,40
51,"[('E6', 'start'), ('F13', 'hold'), ('G2', 'start'), ('G17', 'hold'), ('H11', 'hold'), ('J7', 'hold'), ('K18', 'end')]",7A,2016,40
52,"[('A18', 'end'), ('D17', 'hold'), ('E16', 'hold'), ('H12', 'hold'), ('H5', 'start'), ('I13', 'hold'), ('J9', 'hold'), ('J2', 'start')]",7A,2016,40
53,"[('B4', 'start'), ('C10', 'hold'), ('D3', 'start'), ('G8', 'hold'), ('G14', 'hold'), ('G15', 'hold'), ('K18', 'end')]",7A,2016,40
54,"[('A5', 'start'), ('B3', 'start'), ('E8', 'hold'), ('E10', 'hold'), ('E15', 'hold'), ('E18', 'end'), ('H12', 'hold')]",7A,2016,40
55,"[('C10', 'hold'), ('D18', 'end'), ('E16', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('I13', 'hold'), ('J6', 'start')]",7A,2016,40
56,"[('D18', 'end'), ('E12', 'hold'), ('E13', 'hold'), ('F7', 'hold'), ('I5', 'start'), ('I10', 'hold')]",7A,2016,40
57,"[('D18', 'end'), ('F15', 'hold'), ('F13', 'hold'), ('F8', 'hold'), ('F5', 'start'), ('G17', 'hold'), ('H14', 'hold'), ('I10', 'hold')]",7A,2016,40
58,"[('C8', 'hold'), ('D18', 'end'), ('F13', 'hold'), ('F11', 'hold'), ('H16', 'hold'), ('H8', 'hold'), ('J5', 'start')]",7A,2016,40
59,"[('A5', 'start'), ('B18', 'end'), ('B16', 'hold'), ('B8', 'hold'), ('D14', 'hold'), ('D5', 'start'), ('E13', 'hold'), ('F10', 'hold')]",7A,2016,40
60,"[('B4', 'start'), ('C18', 'end'), ('D3', 'start'), ('E8', 'hold'), ('F15', 'hold'), ('F13', 'hold'), ('I9', 'hold'), ('J5', 'hold'), ('K6', 'hold')]",7A,2016,40
61,"[('E15', 'hold'), ('E18', 'end'), ('F5', 'start'), ('H11', 'hold')]",7A,2016,40
62,"[('C18', 'end'), ('D13', 'hold'), ('F15', 'hold'), ('F9', 'hold'), ('G11', 'hold'), ('H7', 'hold'), ('I5', 'start')]",7A,2016,40
63,"[('E13', 'hold'), ('E18', 'end'), ('H11', 'hold'), ('H5', 'start'), ('K9', 'hold')]",7A,2016,40
64,"[('D18', 'end'), ('E6', 'hold'), ('E13', 'hold'), ('E16', 'hold'), ('F13', 'hold'), ('I10', 'hold'), ('K5', 'start')]",7A,2016,40
65,"[('D18', 'end'), ('F13', 'hold'), ('H16', 'hold'), ('H9', 'hold'), ('I12', 'hold'), ('K5', 'start'), ('K8', 'hold')]",7A,2016,40
66,"[('F12', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('H16', 'hold'), ('H13', 'hold'), ('J8', 'hold'), ('K18', 'end')]",7A,2016,40
67,"[('E16', 'hold'), ('F11', 'hold'), ('G14', 'hold'), ('G18', 'end'), ('J8', 'hold'), ('K5', 'start')]",7A,2016,40
68,"[('C18', 'end'), ('D16', 'hold'), ('D13', 'hold'), ('F15', 'hold'), ('F9', 'hold'), ('F6', 'start'), ('H14', 'hold'), ('H9', 'hold'), ('I5', 'start'), ('I12', 'hold')]",7A,2016,40
69,"[('E10', 'hold'), ('E18', 'end'), ('F14', 'hold'), ('H16', 'hold'), ('H5', 'start'), ('J9', 'hold'), ('J8', 'hold'), ('K5', 'start')]",6C+,2016,40
70,"[('A5', 'start'), ('C5', 'start'), ('E8', 'hold'), ('E10', 'hold'), ('E18', 'end'), ('G15', 'hold'), ('I12', 'hold'), ('J16', 'hold')]",6C+,2016,40
71,"[('E8', 'hold'), ('G4', 'start'), ('G9', 'hold'), ('H16', 'hold'), ('H12', 'hold'), ('I18', 'end'), ('J5', 'start'), ('K14', 'hold')]",6C+,2016,40
72,"[('B9', 'hold'), ('E15', 'hold'), ('F13', 'hold'), ('F7', 'hold'), ('G18', 'end'), ('H11', 'hold'), ('I4', 'start')]",6C+,2016,40
73,"[('C5', 'start'), ('E8', 'hold'), ('F13', 'hold'), ('F11', 'hold'), ('H5', 'start'), ('I15', 'hold'), ('J13', 'hold'), ('K18', 'end')]",6C+,2016,40
74,"[('A14', 'hold'), ('C5', 'start'), ('C10', 'hold'), ('D18', 'end'), ('E7', 'hold'), ('E12', 'hold'), ('E16', 'hold'), ('H10', 'hold'), ('H5', 'start')]",6C+,2016,40
75,"[('A14', 'hold'), ('D17', 'hold'), ('E6', 'start'), ('E11', 'hold'), ('E12', 'hold'), ('E16', 'hold'), ('G2', 'start'), ('G9', 'hold'), ('I18', 'end')]",6C+,2016,40
76,"[('A5', 'start'), ('B8', 'hold'), ('E9', 'hold'), ('E11', 'hold'), ('E18', 'end'), ('F10', 'hold'), ('G15', 'hold'), ('H12', 'hold'), ('J16', 'hold')]",6C+,2016,40
77,"[('B16', 'hold'), ('B12', 'hold'), ('C11', 'hold'), ('E12', 'hold'), ('E14', 'hold'), ('E18', 'end'), ('G4', 'start'), ('G6', 'hold'), ('G9', 'hold')]",6C+,2016,40
78,"[('A5', 'start'), ('C10', 'hold'), ('E7', 'hold'), ('F14', 'hold'), ('G18', 'end'), ('H11', 'hold')]",6C+,2016,40
79,"[('A14', 'hold'), ('C10', 'hold'), ('D18', 'end'), ('E6', 'hold'), ('E12', 'hold'), ('H8', 'hold'), ('J5', 'start')]",6C+,2016,40
80,"[('A18', 'end'), ('C5', 'start'), ('D17', 'hold'), ('D11', 'hold'), ('E16', 'hold'), ('G9', 'hold'), ('I14', 'hold')]",7A,2016,40
81,"[('A5', 'start'), ('B8', 'hold'), ('E13', 'hold'), ('F10', 'hold'), ('G18', 'end'), ('I13', 'hold'), ('I16', 'hold')]",7A,2016,40
82,"[('A9', 'hold'), ('C13', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('E8', 'hold'), ('E9', 'hold'), ('H5', 'start')]",7A,2016,40
83,"[('A14', 'hold'), ('A18', 'end'), ('D15', 'hold'), ('F11', 'hold'), ('G9', 'hold'), ('J5', 'start')]",7A,2016,40
84,"[('A5', 'start'), ('D18', 'end'), ('D9', 'hold'), ('E11', 'hold'), ('G14', 'hold')]",7A,2016,40
85,"[('D18', 'end'), ('E6', 'start'), ('G2', 'start'), ('G9', 'hold'), ('G15', 'hold'), ('G17', 'hold'), ('I10', 'hold'), ('J13', 'hold')]",7A,2016,40
86,"[('E7', 'hold'), ('F12', 'hold'), ('G9', 'hold'), ('H16', 'hold'), ('I14', 'hold'), ('I18', 'end'), ('J5', 'start')]",7A,2016,40
87,"[('B4', 'start'), ('C15', 'hold'), ('D18', 'end'), ('D3', 'start'), ('E8', 'hold'), ('F9', 'hold'), ('G14', 'hold'), ('I11', 'hold')]",7A,2016,40
88,"[('F13', 'hold'), ('G18', 'end'), ('I4', 'start'), ('J12', 'hold'), ('J8', 'hold')]",7A,2016,40
89,"[('E7', 'hold'), ('E13', 'hold'), ('E18', 'end'), ('G2', 'start'), ('I6', 'start'), ('I11', 'hold'), ('I16', 'hold')]",7A,2016,40
90,"[('E18', 'end'), ('F5', 'start'), ('G8', 'hold'), ('G13', 'hold'), ('K11', 'hold')]",7A,2016,40
91,"[('B4', 'start'), ('C18', 'end'), ('D10', 'hold'), ('D8', 'hold'), ('D3', 'start'), ('F13', 'hold'), ('G17', 'hold'), ('H12', 'hold')]",7A,2016,40
92,"[('C12', 'hold'), ('C18', 'end'), ('D16', 'hold'), ('F15', 'hold'), ('G11', 'hold'), ('H9', 'hold'), ('I5', 'start')]",7A,2016,40
93,"[('B9', 'hold'), ('E7', 'hold'), ('E12', 'hold'), ('F14', 'hold'), ('F5', 'start'), ('G18', 'end'), ('I16', 'hold')]",7A,2016,40
94,"[('A14', 'hold'), ('D18', 'end'), ('D17', 'hold'), ('E12', 'hold'), ('F11', 'hold'), ('F5', 'start'), ('G9', 'hold'), ('H5', 'start')]",7A,2016,40
95,"[('A18', 'end'), ('B15', 'hold'), ('C13', 'hold'), ('D8', 'hold'), ('H11', 'hold'), ('K5', 'start'), ('K8', 'hold')]",7A,2016,40
96,"[('C5', 'start'), ('D9', 'hold'), ('E13', 'hold'), ('F9', 'hold'), ('G4', 'start'), ('H16', 'hold'), ('I15', 'hold'), ('K18', 'end')]",7A,2016,40
97,"[('D18', 'end'), ('E15', 'hold'), ('H9', 'hold'), ('I5', 'start'), ('I12', 'hold')]",7A,2016,40
98,"[('B15', 'hold'), ('C18', 'end'), ('D14', 'hold'), ('E10', 'hold'), ('G2', 'start'), ('G12', 'hold'), ('H8', 'hold'), ('J2', 'start')]",7A,2016,40
99,"[('A18', 'end'), ('B3', 'start'), ('D15', 'hold'), ('E6', 'start'), ('E8', 'hold'), ('E12', 'hold')]",7A,2016,40
100,"[('B3', 'start'), ('C10', 'hold'), ('E7', 'hold'), ('F14', 'hold'), ('H10', 'hold'), ('I18', 'end')]",7A,2016,40
101,"[('A5', 'start'), ('B8', 'hold'), ('C10', 'hold'), ('E18', 'end'), ('G13', 'hold')]",7A,2016,40
102,"[('A18', 'end'), ('B13', 'hold'), ('C8', 'hold'), ('D15', 'hold'), ('F11', 'hold'), ('H8', 'hold'), ('H5', 'start')]",7A,2016,40
103,"[('B4', 'start'), ('D18', 'end'), ('D8', 'hold'), ('E11', 'hold'), ('F15', 'hold'), ('F10', 'hold'), ('F6', 'start')]",7A,2016,40
104,"[('B10', 'hold'), ('E6', 'hold'), ('E8', 'hold'), ('E12', 'hold'), ('E16', 'hold'), ('G4', 'start'), ('I18', 'end'), ('J5', 'start')]",7A,2016,40
105,"[('C5', 'start'), ('D18', 'end'), ('E8', 'hold'), ('E10', 'hold'), ('E12', 'hold'), ('G15', 'hold'), ('J7', 'hold')]",7A,2016,40
106,"[('C10', 'hold'), ('E13', 'hold'), ('E15', 'hold'), ('G6', 'hold'), ('G9', 'hold'), ('G18', 'end'), ('K5', 'start')]",7A,2016,40
107,"[('A5', 'start'), ('C7', 'hold'), ('D18', 'end'), ('E16', 'hold'), ('F12', 'hold'), ('F10', 'hold'), ('I14', 'hold')]",7A,2016,40
108,"[('C13', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('F5', 'start'), ('H11', 'hold'), ('I13', 'hold'), ('J8', 'hold')]",7A,2016,40
109,"[('D11', 'hold'), ('D6', 'hold'), ('E16', 'hold'), ('F15', 'hold'), ('G2', 'start'), ('G4', 'start'), ('G9', 'hold'), ('H18', 'end')]",7A,2016,40
110,"[('E18', 'end'), ('F15', 'hold'), ('H14', 'hold'), ('H12', 'hold'), ('H5', 'start'), ('K9', 'hold')]",7A,2016,40
111,"[('A5', 'start'), ('C5', 'start'), ('D10', 'hold'), ('E8', 'hold'), ('E18', 'end'), ('G18', 'end'), ('H14', 'hold'), ('K8', 'hold')]",7A,2016,40
112,"[('B18', 'end'), ('B8', 'hold'), ('E12', 'hold'), ('E15', 'hold'), ('G6', 'start'), ('H5', 'start'), ('I10', 'hold')]",7A,2016,40
113,"[('D18', 'end'), ('F12', 'hold'), ('F10', 'hold'), ('G8', 'hold'), ('G17', 'hold'), ('H16', 'hold'), ('J13', 'hold'), ('J5', 'start')]",7A,2016,40
114,"[('B6', 'start'), ('D18', 'end'), ('F6', 'start'), ('G8', 'hold'), ('G13', 'hold'), ('G17', 'hold'), ('I11', 'hold')]",7A,2016,40
115,"[('A9', 'hold'), ('A14', 'hold'), ('D10', 'hold'), ('D6', 'start'), ('F15', 'hold'), ('G15', 'hold'), ('I18', 'end')]",7A,2016,40
116,"[('A5', 'start'), ('D18', 'end'), ('E8', 'hold'), ('E15', 'hold'), ('H9', 'hold'), ('I14', 'hold'), ('J13', 'hold'), ('K9', 'hold')]",7A,2016,40
117,"[('A12', 'hold'), ('B11', 'hold'), ('B8', 'hold'), ('E13', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('G17', 'hold'), ('G18', 'end')]",7A,2016,40
118,"[('D18', 'end'), ('E13', 'hold'), ('F15', 'hold'), ('H9', 'hold'), ('J12', 'hold'), ('K5', 'start')]",7A,2016,40
119,"[('D15', 'hold'), ('E10', 'hold'), ('E12', 'hold'), ('G4', 'start'), ('G18', 'end'), ('J8', 'hold')]",7A,2016,40
120,"[('E18', 'end'), ('F12', 'hold'), ('G15', 'hold'), ('I4', 'start'), ('I5', 'start'), ('J9', 'hold')]",7B+,2016,40
121,"[('D18', 'end'), ('F13', 'hold'), ('F5', 'start'), ('H14', 'hold'), ('K8', 'hold'), ('K11', 'hold')]",7B+,2016,40
122,"[('B12', 'hold'), ('C5', 'hold'), ('E9', 'hold'), ('E14', 'hold'), ('F13', 'hold'), ('G6', 'start'), ('I18', 'end')]",7B+,2016,40
123,"[('B16', 'hold'), ('D6', 'start'), ('E12', 'hold'), ('F11', 'hold'), ('G18', 'end'), ('H9', 'hold')]",7B+,2016,40
124,"[('B6', 'start'), ('D18', 'end'), ('F11', 'hold'), ('F6', 'start'), ('G15', 'hold'), ('I14', 'hold')]",7B+,2016,40
125,"[('B4', 'start'), ('C9', 'hold'), ('C15', 'hold'), ('C18', 'end'), ('D8', 'hold'), ('D3', 'start'), ('F15', 'hold'), ('F13', 'hold'), ('H9', 'hold')]",7B,2016,40
126,"[('A9', 'hold'), ('E6', 'hold'), ('E12', 'hold'), ('F13', 'hold'), ('F7', 'hold'), ('H18', 'end'), ('I15', 'hold'), ('J5', 'start')]",7B,2016,40
127,"[('A5', 'start'), ('B18', 'end'), ('B9', 'hold'), ('C10', 'hold'), ('D17', 'hold'), ('G13', 'hold')]",7B,2016,40
128,"[('A18', 'end'), ('B3', 'start'), ('D15', 'hold'), ('D5', 'start'), ('E7', 'hold'), ('F7', 'hold'), ('G14', 'hold'), ('H12', 'hold'), ('J10', 'hold')]",7B,2016,40
129,"[('A10', 'hold'), ('C5', 'start'), ('D8', 'hold'), ('D3', 'start'), ('E18', 'end'), ('F15', 'hold'), ('F12', 'hold')]",7B,2016,40
130,"[('E12', 'hold'), ('E18', 'end'), ('F6', 'hold'), ('G4', 'start'), ('G16', 'hold'), ('H9', 'hold')]",7B,2016,40
131,"[('C15', 'hold'), ('C18', 'end'), ('F9', 'hold'), ('H14', 'hold'), ('I5', 'start'), ('I12', 'hold')]",7B,2016,40
132,"[('A10', 'hold'), ('C14', 'hold'), ('D18', 'end'), ('D8', 'hold'), ('F5', 'start')]",7B,2016,40
133,"[('C15', 'hold'), ('C18', 'end'), ('G4', 'start'), ('H14', 'hold'), ('I12', 'hold'), ('K8', 'hold')]",7B,2016,40
134,"[('B11', 'hold'), ('C18', 'end'), ('E14', 'hold'), ('G9', 'hold'), ('H5', 'start')]",7B,2016,40
135,"[('D18', 'end'), ('E15', 'hold'), ('F5', 'start'), ('H12', 'hold'), ('I13', 'hold'), ('J5', 'hold'), ('K10', 'hold')]",7B,2016,40
136,"[('B3', 'start'), ('E10', 'hold'), ('F7', 'hold'), ('G15', 'hold'), ('G18', 'end'), ('J12', 'hold')]",7B,2016,40
137,"[('A9', 'hold'), ('A13', 'hold'), ('B15', 'hold'), ('C9', 'hold'), ('E6', 'start'), ('G18', 'end')]",7B,2016,40
138,"[('B9', 'hold'), ('E12', 'hold'), ('F14', 'hold'), ('F5', 'start'), ('G18', 'end')]",7B,2016,40
139,"[('A18', 'end'), ('D15', 'hold'), ('F11', 'hold'), ('H8', 'hold'), ('J5', 'start')]",7B,2016,40
140,"[('B8', 'hold'), ('B3', 'start'), ('D18', 'end'), ('F10', 'hold'), ('G9', 'hold'), ('G15', 'hold'), ('H16', 'hold'), ('H12', 'hold')]",7B,2016,40
141,"[('B18', 'end'), ('C7', 'hold'), ('E16', 'hold'), ('F13', 'hold'), ('F5', 'start'), ('I10', 'hold')]",7B,2016,40
142,"[('A5', 'hold'), ('B11', 'hold'), ('C11', 'hold'), ('E7', 'hold'), ('F14', 'hold'), ('F7', 'hold'), ('G14', 'hold'), ('J8', 'hold'), ('J2', 'start'), ('K5', 'start'), ('K18', 'end')]",7B,2016,40
143,"[('A9', 'hold'), ('C13', 'hold'), ('C14', 'hold'), ('E6', 'hold'), ('E9', 'hold'), ('G4', 'start'), ('G17', 'hold'), ('G18', 'end')]",7B,2016,40
144,"[('B9', 'hold'), ('D18', 'end'), ('E12', 'hold'), ('F5', 'start'), ('G14', 'hold')]",7B,2016,40
145,"[('D18', 'end'), ('E8', 'hold'), ('G4', 'start'), ('G12', 'hold'), ('H15', 'hold'), ('H12', 'hold')]",7B,2016,40
146,"[('B4', 'start'), ('C12', 'hold'), ('C18', 'end'), ('D10', 'hold'), ('D6', 'start'), ('F15', 'hold'), ('G7', 'hold')]",7B,2016,40
147,"[('B3', 'start'), ('E15', 'hold'), ('E18', 'end'), ('F7', 'hold'), ('G8', 'hold'), ('H11', 'hold')]",7B,2016,40
148,"[('B15', 'hold'), ('B8', 'hold'), ('F13', 'hold'), ('G11', 'hold'), ('G18', 'end'), ('H5', 'start'), ('I8', 'hold')]",7B,2016,40
149,"[('B4', 'start'), ('C7', 'hold'), ('C15', 'hold'), ('C18', 'end'), ('D10', 'hold'), ('D6', 'start')]",7B,2016,40
150,"[('A14', 'hold'), ('A18', 'end'), ('B6', 'hold'), ('C13', 'hold'), ('F11', 'hold'), ('G2', 'start'), ('I13', 'hold'), ('J8', 'hold'), ('J7', 'hold')]",7B,2016,40
151,"[('F15', 'hold'), ('F5', 'start'), ('G11', 'hold'), ('G18', 'end')]",7B,2016,40
152,"[('A18', 'end'), ('D16', 'hold'), ('D10', 'hold'), ('E14', 'hold'), ('F6', 'start'), ('I8', 'hold'), ('I13', 'hold')]",7B,2016,40
153,"[('B18', 'end'), ('B10', 'hold'), ('D7', 'hold'), ('E14', 'hold'), ('G10', 'hold'), ('H8', 'hold'), ('K5', 'start')]",7B,2016,40
154,"[('B15', 'hold'), ('E12', 'hold'), ('G9', 'hold'), ('G17', 'hold'), ('G18', 'end'), ('H8', 'hold'), ('H5', 'start'), ('K5', 'start')]",7B,2016,40
155,"[('B4', 'start'), ('C7', 'hold'), ('C18', 'end'), ('D13', 'hold'), ('D10', 'hold'), ('D3', 'start'), ('G17', 'hold')]",7B,2016,40
156,"[('A9', 'hold'), ('B3', 'start'), ('E12', 'hold'), ('F14', 'hold'), ('F7', 'hold'), ('I18', 'end')]",7B,2016,40
157,"[('C9', 'hold'), ('D12', 'hold'), ('F15', 'hold'), ('F6', 'start'), ('H18', 'end'), ('H7', 'hold'), ('I4', 'start')]",7B,2016,40
158,"[('B9', 'hold'), ('B3', 'hold'), ('C10', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('G4', 'start'), ('H12', 'hold')]",7B,2016,40
159,"[('A9', 'hold'), ('C5', 'start'), ('D18', 'end'), ('E6', 'start'), ('F13', 'hold'), ('F11', 'hold'), ('G15', 'hold')]",7B,2016,40
160,"[('C10', 'hold'), ('E18', 'end'), ('F5', 'start'), ('H14', 'hold')]",7C,2016,40
161,"[('B3', 'start'), ('C14', 'hold'), ('D9', 'hold'), ('D5', 'hold'), ('G18', 'end'), ('H11', 'hold'), ('I6', 'hold')]",7C,2016,40
162,"[('D8', 'hold'), ('E6', 'start'), ('G18', 'end'), ('H12', 'hold'), ('I6', 'start'), ('I15', 'hold'), ('J10', 'hold')]",7C,2016,40
163,"[('C5', 'start'), ('D18', 'end'), ('F15', 'hold'), ('G2', 'start'), ('G7', 'hold'), ('H12', 'hold'), ('I9', 'hold'), ('I15', 'hold')]",7C,2016,40
